name,alternate name,common set
kindergarten teacher,nursery teacher,1
embroiderer,embroiderer,1
broomsquire,broomsquire,
occupational therapist,occup therapist,
chief learning officer,clo,`
chief genealogical officer,cgo,
chhatrapati,chhatrapati,
mechanical engineer,mechanical engr,1
embalmer,,1
instigator regni,,
tattoo artist,,1
dahomey amazons,,
chief commercial officer,cco,
raja,,
burlak,,
human computer,,1
jeweler,,1
database administrator,database admin,1
psychiatric nurse,psych nurse,1
farrier,,1
domestic partner,partner,1
bookbinder,,1
uncle,,1
criminals,,1
sociologist,,1
mule scavenger,,
chief analytics officer,cao,
grand prince,,
galley slave,,
packetmen,,1
narrator,,1
haematologist,,1
nuclear engineer,nuclear engr,1
hurrying,,
licensed behavior analyst,lba,
data scientist,,1
impi,,
law enforcement officer,law officer,1
chief scientific officer,CSO,
management analyst,mgmt analyst,1
production designer,production dsgr,1
industrial designer,industrial dsgr,1
glazier,,1
dog writer,,
fitter,,
petroleum engineer,petroleum engr,1
ticket inspector,conductor,1
lady's companion,companion,
sibling,,1
rhapsode,,
hiwi,,
dermatologist,,1
cousin,,1
composer,,1
dependant,,1
machinist,,1
manager,,1
packer,,
bretwalda,,
rais,,
teller,,1
merchant,,1
make-up artist,,1
respiratory therapist,resp therapist,
firefighter,,1
water carrier,,
powder monkey,,
author,,1
bailiff,,1
chief sustainability officer,cso,
dispatcher,,1
fisher,,1
orthodontist,,1
emir,,
aeronautical engineer,aeronspace engr,1
design director,,1
rawal,,
princeps,,
filling station attendant,gas jockey,
lactation consultant,lactation cnslr,
ruler,,1
programmer,,1
microbiologist,,1
collector,,1
marine engineer,,1
financial analyst,finance analyst,1
photographer,,1
video editor,,1
nurse,,1
butcher,,1
probation officer,probation ofc,1
correction officer,correction ofc,1
raja sahib,,
raja bendahara,,
medical laboratory scientist,lab scientist,1
chauffeur,,1
parson,,
intellectual,,1
samurai,,1
civil engineer,,1
endocrinologist,,1
v\u00f6lva,,
typist,,1
bounty hunter,,1
parent,,1
revenue protection inspector,fare inspector,1
leader,,1
artistic director,art director,1
therapist,,1
maharaja,,
great king,,
game warden,,1
blogger,,1
demonstrator,,1
bartender,,1
ironworker,,1
retinue,,
nawabi,,
privateer,,1
tipstaff,tipstave,
plumber,,1
dog whipper,,
television announcer,tv announcer,1
park ranger,,1
still room maid,,
stagehand,,1
interior designer,interior dsgr,1
swabian children,swabian child,
screenwriter,,1
chiropractor,,1
software design,,
postmaster,,1
dentist,,1
urban planner,,1
f\u00fcrst,,
auditor,,1
son of heaven,,
phlebotomist,,1
obstetrician,,1
daughter,,1
boilerman,,1
tsar,,1
datu,,
panel beater,,
field force,,
pantomime dame,,
jailer,,1
sailmaker,,1
sidekick,,1
arrephoros,,
stunt coordinator,stunt manager,1
stavilac,,
runemaster,,1
tour guide,,1
sapa inca,,
sandal-bearer,,
factory worker,,1
technical writer,tech writer,1
chemical engineer,chemical engr,1
jewellery designer,jewellery dsgr,1
secretarie,secretary,1
teuctocaitl,,
zoologist,,1
faller,,
geoscientist,,1
neurosurgeon,,1
electrical engineer,electrical engr,1
model,,1
computer scientist,computer sci,1
bey,,
pruner,,1
special constable,spl constable,0
infopreneur,,1
medical assistant,medical asst,1
physician,,1
leech collector,,
knight,,1
chief data officer,cda,
glimmer man,,
s\u014dhei,,
constable,,1
nurse practitioner,nurse prac,1
wound care,,
computer systems analyst,computer anlst,1
massage therapist,masseur,1
musician,,1
ash burner,,
chief reputation officer,cro,
epidemiologist,,1
pediatric nurse practitioner,pedi nurse prac,1
podyachy,,
marketing director,marketing drctr,1
prince,,1
empress,,1
bus driver,,1
voltigeur,,
healthcare science,,
line infantry,,1
ballet dancer,,1
intensivist,,1
private detective,pvt detective,1
blacksmith,,1
stepmother,,1
property master,,1
chief information security officer,cio,
harquebusier,,
friar,,1
sound designer,,1
grand duke,,1
yardmaster,,1
heavy equipment operator,heavy eqpt op,1
nutritionist,,1
model maker,,1
biochemist,,1
anax,,
yeoman,,1
useful man,,
herpetologist,,1
wheelwright,,1
welder,,1
geologist,,1
apprentice,,1
plant operator,,1
scientist,,1
conservator,,1
scullery maid,,
special police,,1
chief design officer,cdo,
instructor,,1
conservation officer,forest ranger,1
orthotist,,1
tempter,,1
bematist,,
system operator,,1
forester,,1
bullocky,teamster,
choreographer,,1
taxi driver,,1
begzada,,
groom of the stool,stool groom,
moldmaker,,1
nephew,,1
web designer,,1
neonatologist,,1
court reporter,,1
yang di-pertuan besar,great ruler,
physicist,,1
correctional officer,correction ofc,1
exercise physiologist,physiologist,1
security guard,,1
dancer,,1
traquero,,
actor,,1
plowman,,1
optometrist,,1
platelayer,,1
customs officer,,1
troubadour,,1
drafter,,1
script coordinator,script coord,1
alchemist,,1
midwife,,1
ambulance driver,ambulance tech,1
system administrator,system admin,1
chief fireman,,1
chief human resources officer,chro,
chief gaming officer,cgo,
dragoon,,
al-hurra,,
receptionist,,1
